Country or Area,Year,Age of mother,Value
Switzerland,2009,50 +,11
Switzerland,2009,Unknown,0
Switzerland,2008,Total,76691
Switzerland,2008,12,0
Switzerland,2008,13,1
Switzerland,2008,14,0
Switzerland,2008,15,21
Switzerland,2008,16,34
Switzerland,2008,17,115
Switzerland,2008,18,251
Switzerland,2008,19,528
Switzerland,2008,20,826
Switzerland,2008,21,1204
Switzerland,2008,22,1556
Switzerland,2008,23,1970
Switzerland,2008,24,2432
Switzerland,2008,25,2965
Switzerland,2008,26,3545
Switzerland,2008,27,4186
Switzerland,2008,28,4844
Switzerland,2008,29,5217
Switzerland,2008,30,5498
Switzerland,2008,31,5634
Switzerland,2008,32,5634
Switzerland,2008,33,5504
Switzerland,2008,34,5166
Switzerland,2008,35,4600
Switzerland,2008,36,3898
Switzerland,2008,37,3276
Switzerland,2008,38,2546
Switzerland,2008,39,1885
Switzerland,2008,40,1370
Switzerland,2008,41,867
Switzerland,2008,42,495
Switzerland,2008,43,303
Switzerland,2008,44,153
Switzerland,2008,45,79
Switzerland,2008,46,39
Switzerland,2008,47,26
Switzerland,2008,48,9
Switzerland,2008,49,7
Switzerland,2008,50 +,7
Switzerland,2008,Unknown,0
Switzerland,2007,Total,74494
Switzerland,2007,12,0
Switzerland,2007,13,1
Switzerland,2007,14,2
Switzerland,2007,15,9
Switzerland,2007,16,46
Switzerland,2007,17,121
Switzerland,2007,18,263
Switzerland,2007,19,511
Switzerland,2007,20,830
Switzerland,2007,21,1227
Switzerland,2007,22,1606
Switzerland,2007,23,1942
Switzerland,2007,24,2415
Switzerland,2007,25,3068
Switzerland,2007,26,3468
Switzerland,2007,27,3962
Switzerland,2007,28,4560
Switzerland,2007,29,5093
Switzerland,2007,30,5477
Switzerland,2007,31,5605
Switzerland,2007,32,5529
Switzerland,2007,33,5169
Switzerland,2007,34,4921
Switzerland,2007,35,4548
Switzerland,2007,36,3727
Switzerland,2007,37,3071
Switzerland,2007,38,2390
Switzerland,2007,39,1785
Switzerland,2007,40,1230
Switzerland,2007,41,846
Switzerland,2007,42,528
Switzerland,2007,43,263
Switzerland,2007,44,126
Switzerland,2007,45,75
Switzerland,2007,46,39
Switzerland,2007,47,21
Switzerland,2007,48,6
Switzerland,2007,49,4
Switzerland,2007,50 +,10
Switzerland,2006,Total,73371
Switzerland,2006,0 - 14,6
Switzerland,2006,15 - 19,982
Switzerland,2006,20 - 24,8275
Switzerland,2006,25 - 29,20004
Switzerland,2006,30 - 34,26298
Switzerland,2006,35 - 39,14877
Switzerland,2006,40 - 44,2832
Switzerland,2006,45 - 49,93
Switzerland,2006,50 +,4
Switzerland,2005,Total,72903
Switzerland,2005,0 - 14,7
Switzerland,2005,15 - 19,1084
Switzerland,2005,20 - 24,8298
Switzerland,2005,25 - 29,20024
Switzerland,2005,30 - 34,26327
Switzerland,2005,35 - 39,14499
Switzerland,2005,40 - 44,2580
Switzerland,2005,45 - 49,79
Switzerland,2005,50 +,5
Switzerland,2004,Total,73082
Switzerland,2004,0 - 14,4
Switzerland,2004,15 - 19,1080
Switzerland,2004,20 - 24,8594
Switzerland,2004,25 - 29,20302
Switzerland,2004,30 - 34,26733
Switzerland,2004,35 - 39,14020
Switzerland,2004,40 - 44,2280
Switzerland,2004,45 - 49,63
Switzerland,2004,50 +,6
Switzerland,2003,Total,71848
Switzerland,2003,0 - 14,2
Switzerland,2003,15 - 19,1084
Switzerland,2003,20 - 24,8625
Switzerland,2003,25 - 29,20390
Switzerland,2003,30 - 34,26376
Switzerland,2003,35 - 39,13162
Switzerland,2003,40 - 44,2120
Switzerland,2003,45 - 49,83
Switzerland,2003,50 +,6
Switzerland,2002,Total,72372
Switzerland,2002,14-Dec,1
Switzerland,2002,15 - 19,1105
Switzerland,2002,20 - 24,8680
Switzerland,2002,25 - 29,21080
Switzerland,2002,30 - 34,26795
Switzerland,2002,35 - 39,12656
Switzerland,2002,40 - 44,1963
Switzerland,2002,45 - 49,83
Switzerland,2002,50 +,9
Switzerland,2001,Total,73509
Switzerland,2001,0 - 14,2
Switzerland,2001,15 - 19,1144
Switzerland,2001,20 - 24,8919
Switzerland,2001,25 - 29,22003
Switzerland,2001,30 - 34,27327
Switzerland,2001,35 - 39,12187
Switzerland,2001,40 - 44,1856
Switzerland,2001,45 - 49,60
Switzerland,2001,50 +,11
Switzerland,2000,Total,78458
Switzerland,2000,0 - 14,1
Switzerland,2000,15 - 19,1207
Switzerland,2000,20 - 24,9593
Switzerland,2000,25 - 29,24506
Switzerland,2000,30 - 34,29173
Switzerland,2000,35 - 39,12198
Switzerland,2000,40 - 44,1709
Switzerland,2000,45 - 49,68
Switzerland,2000,50 +,3
Switzerland,1999,Total,78408
Switzerland,1999,0 - 14,2
Switzerland,1999,15 - 19,1183
Switzerland,1999,20 - 24,9935
Switzerland,1999,25 - 29,25384
Switzerland,1999,30 - 34,28904
Switzerland,1999,35 - 39,11364
Switzerland,1999,40 - 44,1581
Switzerland,1999,45 - 49,49
Switzerland,1999,50 +,6
Switzerland,1998,Total,78949
Switzerland,1998,0 - 14,3
Switzerland,1998,15 - 19,1103
Switzerland,1998,20 - 24,9744
Switzerland,1998,25 - 29,26788
Switzerland,1998,30 - 34,29108
Switzerland,1998,35 - 39,10645
Switzerland,1998,40 - 44,1503
Switzerland,1998,45 - 49,52
Switzerland,1998,50 +,3
Switzerland,1997,Total,80584
Switzerland,1997,0 - 14,2
Switzerland,1997,15 - 19,1099
Switzerland,1997,20 - 24,10070
Switzerland,1997,25 - 29,28459
Switzerland,1997,30 - 34,29437
Switzerland,1997,35 - 39,10054
Switzerland,1997,40 - 44,1412
Switzerland,1997,45 - 49,49
Switzerland,1997,50 +,2
Switzerland,1996,Total,83007
Switzerland,1996,0 - 14,4
Switzerland,1996,15 - 19,1099
Switzerland,1996,20 - 24,10688
Switzerland,1996,25 - 29,30508
Switzerland,1996,30 - 34,29690
Switzerland,1996,35 - 39,9670
Switzerland,1996,40 - 44,1296
Switzerland,1996,45 - 49,51
Switzerland,1996,50 +,1
Switzerland,1995,Total,82203
Switzerland,1995,0 - 14,1
Switzerland,1995,15 - 19,1067
Switzerland,1995,20 - 24,11325
Switzerland,1995,25 - 29,31245
Switzerland,1995,30 - 34,28365
Switzerland,1995,35 - 39,8993
Switzerland,1995,40 - 44,1171
Switzerland,1995,45 - 49,33
Switzerland,1995,50 +,3
Switzerland,1994,Total,82980
Switzerland,1994,0 - 14,0
Switzerland,1994,15 - 19,1150
Switzerland,1994,20 - 24,11637
Switzerland,1994,25 - 29,32751
Switzerland,1994,30 - 34,27526
Switzerland,1994,35 - 39,8679
Switzerland,1994,40 - 44,1205
Switzerland,1994,45 - 49,29
Switzerland,1994,50 +,3
Switzerland,1993,Total,83762
Switzerland,1993,0 - 14,3
Switzerland,1993,15 - 19,1303
Switzerland,1993,20 - 24,12713
Switzerland,1993,25 - 29,33553
Switzerland,1993,30 - 34,26909
Switzerland,1993,35 - 39,8156
Switzerland,1993,40 - 44,1081
Switzerland,1993,45 - 49,40
Switzerland,1993,50 +,4
Switzerland,1992,Total,86910
Switzerland,1992,0 - 14,3
Switzerland,1992,15 - 19,1429
Switzerland,1992,20 - 24,14064
Switzerland,1992,25 - 29,35560
Switzerland,1992,30 - 34,26642
Switzerland,1992,35 - 39,8005
Switzerland,1992,40 - 44,1164
Switzerland,1992,45 - 49,42
Switzerland,1992,50 +,1
Switzerland,1991,Total,86200
Switzerland,1991,0 - 14,0
Switzerland,1991,15 - 19,1606
Switzerland,1991,20 - 24,14709
Switzerland,1991,25 - 29,35679
Switzerland,1991,30 - 34,25366
Switzerland,1991,35 - 39,7696
Switzerland,1991,40 - 44,1115
Switzerland,1991,45 - 49,27
Switzerland,1991,50 +,2
Switzerland,1990,Total,83939
Switzerland,1990,0 - 14,1
Switzerland,1990,15 - 19,1437
Switzerland,1990,20 - 24,14942
Switzerland,1990,25 - 29,35121
Switzerland,1990,30 - 34,24169
Switzerland,1990,35 - 39,7281
Switzerland,1990,40 - 44,959
Switzerland,1990,45 - 49,28
Switzerland,1990,50 +,1
Switzerland,1989,Total,81180
Switzerland,1989,0 - 14,2
Switzerland,1989,15 - 19,1423
Switzerland,1989,20 - 24,14808
Switzerland,1989,25 - 29,34171
Switzerland,1989,30 - 34,22941
Switzerland,1989,35 - 39,6855
Switzerland,1989,40 - 44,944
Switzerland,1989,45 - 49,32
Switzerland,1989,50 +,4
Switzerland,1989,Unknown,0
Switzerland,1988,Total,80345
Switzerland,1988,0 - 14,3
Switzerland,1988,15 - 19,1462
Switzerland,1988,20 - 24,15638
Switzerland,1988,25 - 29,33957
Switzerland,1988,30 - 34,21907
Switzerland,1988,35 - 39,6465
Switzerland,1988,40 - 44,873
Switzerland,1988,45 - 49,38
Switzerland,1988,50 +,2
Switzerland,1988,Unknown,0
Switzerland,1987,Total,76505
Switzerland,1987,0 - 14,7
Switzerland,1987,15 - 19,1366
Switzerland,1987,20 - 24,15558
Switzerland,1987,25 - 29,32177
Switzerland,1987,30 - 34,20513
Switzerland,1987,35 - 39,6008
Switzerland,1987,40 - 44,837
Switzerland,1987,45 - 49,38
Switzerland,1987,50 +,1
Switzerland,1987,Unknown,0
Switzerland,1986,Total,76320
Switzerland,1986,0 - 14,3
Switzerland,1986,15 - 19,1499
Switzerland,1986,20 - 24,16526
Switzerland,1986,25 - 29,32014
Switzerland,1986,30 - 34,19704
Switzerland,1986,35 - 39,5721
Switzerland,1986,40 - 44,823
Switzerland,1986,45 - 49,27
Switzerland,1986,50 +,3
Switzerland,1986,Unknown,0
Switzerland,1985,Total,74684
Switzerland,1985,0 - 14,3
Switzerland,1985,15 - 19,1565
Switzerland,1985,20 - 24,16932
Switzerland,1985,25 - 29,31043
Switzerland,1985,30 - 34,18717
Switzerland,1985,35 - 39,5610
Switzerland,1985,40 - 44,779
Switzerland,1985,45 - 49,34
Switzerland,1985,50 +,1
Switzerland,1985,Unknown,0
Switzerland,1984,Total,74710
Switzerland,1984,0 - 14,5
Switzerland,1984,15 - 19,1907
Switzerland,1984,20 - 24,18001
Switzerland,1984,25 - 29,30360
Switzerland,1984,30 - 34,18152
Switzerland,1984,35 - 39,5447
Switzerland,1984,40 - 44,800
Switzerland,1984,45 - 49,37
Switzerland,1984,50 +,1
Switzerland,1984,Unknown,0
Switzerland,1982,Total,74916
Switzerland,1982,0 - 14,4
Switzerland,1982,15 - 19,2365
Switzerland,1982,20 - 24,18875
Switzerland,1982,25 - 29,29872
Switzerland,1982,30 - 34,17873
Switzerland,1982,35 - 39,5175
Switzerland,1982,40 - 44,717
Switzerland,1982,45 - 49,34
Switzerland,1982,50 +,1
Switzerland,1982,Unknown,0
Switzerland,1981,Total,73747
Switzerland,1981,0 - 14,3
Switzerland,1981,15 - 19,2421
Switzerland,1981,20 - 24,18843
Switzerland,1981,25 - 29,29114
Switzerland,1981,30 - 34,17516
Switzerland,1981,35 - 39,5134
Switzerland,1981,40 - 44,680
Switzerland,1981,45 - 49,35
Switzerland,1981,50 +,1
Switzerland,1981,Unknown,0
Switzerland,1980,Total,73661
Switzerland,1980,0 - 14,5
Switzerland,1980,15 - 19,2455
Switzerland,1980,20 - 24,18622
Switzerland,1980,25 - 29,29315
Switzerland,1980,30 - 34,17568
Switzerland,1980,35 - 39,4889
Switzerland,1980,40 - 44,752
Switzerland,1980,45 - 49,53
Switzerland,1980,50 +,2
Switzerland,1980,Unknown,0
Switzerland,1979,Total,71986
Switzerland,1979,0 - 14,6
Switzerland,1979,15 - 19,2335
Switzerland,1979,20 - 24,18463
Switzerland,1979,25 - 29,28981
Switzerland,1979,30 - 34,16763
Switzerland,1979,35 - 39,4674
Switzerland,1979,40 - 44,719
Switzerland,1979,45 - 49,44
Switzerland,1979,50 +,1
Switzerland,1979,Unknown,0
Switzerland,1978,Total,71375
Switzerland,1978,0 - 14,3
Switzerland,1978,15 - 19,2374
Switzerland,1978,20 - 24,18281
Switzerland,1978,25 - 29,28790
Switzerland,1978,30 - 34,16524
Switzerland,1978,35 - 39,4512
Switzerland,1978,40 - 44,835
Switzerland,1978,45 - 49,56
Switzerland,1978,50 +,0
Switzerland,1978,Unknown,0
Switzerland,1977,Total,72829
Switzerland,1977,0 - 14,3
Switzerland,1977,15 - 19,2442
Switzerland,1977,20 - 24,19473
Switzerland,1977,25 - 29,29309
Switzerland,1977,30 - 34,16128
Switzerland,1977,35 - 39,4549
Switzerland,1977,40 - 44,865
Switzerland,1977,45 - 49,60
Switzerland,1977,50 +,0
Switzerland,1977,Unknown,0
Switzerland,1976,Total,74199
Switzerland,1976,0 - 14,5
Switzerland,1976,15 - 19,2921
Switzerland,1976,20 - 24,20617
Switzerland,1976,25 - 29,29594
Switzerland,1976,30 - 34,15519
Switzerland,1976,35 - 39,4498
Switzerland,1976,40 - 44,974
Switzerland,1976,45 - 49,70
Switzerland,1976,50 +,1
Switzerland,1976,Unknown,0
Switzerland,1975,Total,78464
Switzerland,1975,0 - 14,7
Switzerland,1975,15 - 19,3526
Switzerland,1975,20 - 24,22308
Switzerland,1975,25 - 29,31132
Switzerland,1975,30 - 34,15459
Switzerland,1975,35 - 39,4828
Switzerland,1975,40 - 44,1141
Switzerland,1975,45 - 49,63
Switzerland,1975,50 +,0
Switzerland,1975,Unknown,0
Switzerland,1974,Total,84507
Switzerland,1974,0 - 14,5
Switzerland,1974,15 - 19,4067
Switzerland,1974,20 - 24,24751
Switzerland,1974,25 - 29,32642
Switzerland,1974,30 - 34,16200
Switzerland,1974,35 - 39,5512
Switzerland,1974,40 - 44,1234
Switzerland,1974,45 - 49,95
Switzerland,1974,50 +,1
Switzerland,1974,Unknown,0
Switzerland,1973,Total,87518
Switzerland,1973,0 - 14,9
Switzerland,1973,15 - 19,4472
Switzerland,1973,20 - 24,25983
Switzerland,1973,25 - 29,33284
Switzerland,1973,30 - 34,16140
Switzerland,1973,35 - 39,6015
Switzerland,1973,40 - 44,1507
Switzerland,1973,45 - 49,106
Switzerland,1973,50 +,2
Switzerland,1973,Unknown,0
Switzerland,1972,Total,91342
Switzerland,1972,0 - 14,8
Switzerland,1972,15 - 19,4609
Switzerland,1972,20 - 24,27923
Switzerland,1972,25 - 29,33660
Switzerland,1972,30 - 34,16676
Switzerland,1972,35 - 39,6661
Switzerland,1972,40 - 44,1675
Switzerland,1972,45 - 49,126
Switzerland,1972,50 +,4
Switzerland,1972,Unknown,0
Switzerland,1971,Total,96261
Switzerland,1971,0 - 14,11
Switzerland,1971,15 - 19,4797
Switzerland,1971,20 - 24,30202
Switzerland,1971,25 - 29,34349
Switzerland,1971,30 - 34,17537
Switzerland,1971,35 - 39,7339
Switzerland,1971,40 - 44,1879
Switzerland,1971,45 - 49,147
Switzerland,1971,50 +,0
Switzerland,1971,Unknown,0
Switzerland,1970,Total,99216
Switzerland,1970,0 - 14,6
Switzerland,1970,15 - 19,5017
Switzerland,1970,20 - 24,31618
Switzerland,1970,25 - 29,34494
Switzerland,1970,30 - 34,18109
Switzerland,1970,35 - 39,7787
Switzerland,1970,40 - 44,2021
Switzerland,1970,45 - 49,163
Switzerland,1970,50 +,1
Switzerland,1970,Unknown,0
Switzerland,1969,Total,102520
Switzerland,1969,0 - 14,10
Switzerland,1969,15 - 19,5154
Switzerland,1969,20 - 24,32674
Switzerland,1969,25 - 29,35102
Switzerland,1969,30 - 34,18978
Switzerland,1969,35 - 39,8218
Switzerland,1969,40 - 44,2219
Switzerland,1969,45 - 49,164
Switzerland,1969,50 +,1
Switzerland,1969,Unknown,0
Switzerland,1968,Total,105130
Switzerland,1968,0 - 14,11
Switzerland,1968,15 - 19,5105
Switzerland,1968,20 - 24,33865
Switzerland,1968,25 - 29,35330
Switzerland,1968,30 - 34,19546
Switzerland,1968,35 - 39,8686
Switzerland,1968,40 - 44,2390
Switzerland,1968,45 - 49,196
Switzerland,1968,50 +,1
Switzerland,1968,Unknown,0
Switzerland,1967,Total,107417
Switzerland,1967,0 - 14,9
Switzerland,1967,15 - 19,5249
Switzerland,1967,20 - 24,34259
Switzerland,1967,25 - 29,35706
Switzerland,1967,30 - 34,20333
Switzerland,1967,35 - 39,8967
Switzerland,1967,40 - 44,2689
Switzerland,1967,45 - 49,203
Switzerland,1967,50 +,2
Switzerland,1967,Unknown,0
Switzerland,1966,Total,109738
Switzerland,1966,0 - 14,6
Switzerland,1966,15 - 19,5193
Switzerland,1966,20 - 24,34099
Switzerland,1966,25 - 29,36458
Switzerland,1966,30 - 34,21376
Switzerland,1966,35 - 39,9637
Switzerland,1966,40 - 44,2792
Switzerland,1966,45 - 49,177
Switzerland,1966,50 +,0
Switzerland,1966,Unknown,0
Switzerland,1965,Total,111835
Switzerland,1965,0 - 14,8
Switzerland,1965,15 - 19,5194
Switzerland,1965,20 - 24,34422
Switzerland,1965,25 - 29,37094
Switzerland,1965,30 - 34,22001
Switzerland,1965,35 - 39,10031
Switzerland,1965,40 - 44,2878
Switzerland,1965,45 - 49,206
Switzerland,1965,50 +,1
Switzerland,1965,Unknown,0
Tajikistan,1994,Total,162152
Tajikistan,1994,0 - 19,15886
Tajikistan,1994,20 - 24,59943
Tajikistan,1994,25 - 29,43322
Tajikistan,1994,30 - 34,28073
Tajikistan,1994,35 - 39,11323
Tajikistan,1994,40 - 44,2936
Tajikistan,1994,45 - 49,282
Tajikistan,1994,50 +,41
Tajikistan,1994,Unknown,346
Tajikistan,1993,Total,186504
Tajikistan,1993,0 - 19,14860
Tajikistan,1993,20 - 24,69292
Tajikistan,1993,25 - 29,51415
Tajikistan,1993,30 - 34,32867
Tajikistan,1993,35 - 39,13598
Tajikistan,1993,40 - 44,3763
Tajikistan,1993,45 - 49,340
Tajikistan,1993,50 +,50
Tajikistan,1993,Unknown,319
Tajikistan,1992,Total,179534
Tajikistan,1992,0 - 19,11329
Tajikistan,1992,20 - 24,66537
Tajikistan,1992,25 - 29,51843
Tajikistan,1992,30 - 34,32816
Tajikistan,1992,35 - 39,12932
Tajikistan,1992,40 - 44,3427
Tajikistan,1992,45 - 49,326
Tajikistan,1992,50 +,46
Tajikistan,1992,Unknown,278
Tajikistan,1991,Total,212598
Tajikistan,1991,0 - 19,12604
Tajikistan,1991,20 - 24,77072
Tajikistan,1991,25 - 29,63059
Tajikistan,1991,30 - 34,39320
Tajikistan,1991,35 - 39,15404
Tajikistan,1991,40 - 44,4309
Tajikistan,1991,45 - 49,434
Tajikistan,1991,50 +,98
Tajikistan,1991,Unknown,298
Tajikistan,1990,Total,205813
Tajikistan,1990,0 - 19,10885
Tajikistan,1990,20 - 24,73339
Tajikistan,1990,25 - 29,63128
Tajikistan,1990,30 - 34,38051
Tajikistan,1990,35 - 39,15193
Tajikistan,1990,40 - 44,4332
Tajikistan,1990,45 - 49,466
Tajikistan,1990,50 +,144
Tajikistan,1990,Unknown,275
Tajikistan,1989,Total,200430
Tajikistan,1989,0 - 19,10214
Tajikistan,1989,20 - 24,71537
Tajikistan,1989,25 - 29,63096
Tajikistan,1989,30 - 34,35179
Tajikistan,1989,35 - 39,15415
Tajikistan,1989,40 - 44,4047
Tajikistan,1989,45 - 49,610
Tajikistan,1989,50 +,124
Tajikistan,1989,Unknown,208
TFYR of Macedonia,2011,Total,22770
TFYR of Macedonia,2011,12,0
TFYR of Macedonia,2011,13,1
TFYR of Macedonia,2011,14,22
TFYR of Macedonia,2011,15,69
TFYR of Macedonia,2011,16,137
TFYR of Macedonia,2011,17,203
TFYR of Macedonia,2011,18,354
TFYR of Macedonia,2011,19,547
TFYR of Macedonia,2011,20,732
TFYR of Macedonia,2011,21,934
TFYR of Macedonia,2011,22,1130
TFYR of Macedonia,2011,23,1300
TFYR of Macedonia,2011,24,1498
TFYR of Macedonia,2011,25,1613
TFYR of Macedonia,2011,26,1572
TFYR of Macedonia,2011,27,1690
TFYR of Macedonia,2011,28,1570
TFYR of Macedonia,2011,29,1582
TFYR of Macedonia,2011,30,1492
TFYR of Macedonia,2011,31,1285
TFYR of Macedonia,2011,32,1101
TFYR of Macedonia,2011,33,868
TFYR of Macedonia,2011,34,784
TFYR of Macedonia,2011,35,641
TFYR of Macedonia,2011,36,495
TFYR of Macedonia,2011,37,375
TFYR of Macedonia,2011,38,272
TFYR of Macedonia,2011,39,196
TFYR of Macedonia,2011,40,126
TFYR of Macedonia,2011,41,77
TFYR of Macedonia,2011,42,43
TFYR of Macedonia,2011,43,28
TFYR of Macedonia,2011,44,11
TFYR of Macedonia,2011,45,8
TFYR of Macedonia,2011,46,5
TFYR of Macedonia,2011,47,2
TFYR of Macedonia,2011,48,0
TFYR of Macedonia,2011,49,0
TFYR of Macedonia,2011,50 +,0
TFYR of Macedonia,2011,Unknown,7
TFYR of Macedonia,2010,Total,24296
TFYR of Macedonia,2010,12,2
TFYR of Macedonia,2010,13,3
TFYR of Macedonia,2010,14,21
TFYR of Macedonia,2010,15,56
TFYR of Macedonia,2010,16,156
TFYR of Macedonia,2010,17,262
TFYR of Macedonia,2010,18,392
TFYR of Macedonia,2010,19,589
TFYR of Macedonia,2010,20,819
TFYR of Macedonia,2010,21,1058
TFYR of Macedonia,2010,22,1229
TFYR of Macedonia,2010,23,1371
TFYR of Macedonia,2010,24,1569
TFYR of Macedonia,2010,25,1685
TFYR of Macedonia,2010,26,1825
TFYR of Macedonia,2010,27,1842
TFYR of Macedonia,2010,28,1716
TFYR of Macedonia,2010,29,1649
TFYR of Macedonia,2010,30,1506
TFYR of Macedonia,2010,31,1338
TFYR of Macedonia,2010,32,1203
TFYR of Macedonia,2010,33,926
TFYR of Macedonia,2010,34,757
TFYR of Macedonia,2010,35,658
TFYR of Macedonia,2010,36,495
TFYR of Macedonia,2010,37,417
TFYR of Macedonia,2010,38,284
TFYR of Macedonia,2010,39,157
TFYR of Macedonia,2010,40,139
TFYR of Macedonia,2010,41,70
TFYR of Macedonia,2010,42,38
TFYR of Macedonia,2010,43,29
TFYR of Macedonia,2010,44,10
TFYR of Macedonia,2010,45,9
TFYR of Macedonia,2010,46,2
TFYR of Macedonia,2010,47,2
TFYR of Macedonia,2010,48,0
TFYR of Macedonia,2010,49,1
TFYR of Macedonia,2010,50 +,1
TFYR of Macedonia,2010,Unknown,10
TFYR of Macedonia,2009,Total,23684
TFYR of Macedonia,2009,12,1
TFYR of Macedonia,2009,13,3
TFYR of Macedonia,2009,14,29
TFYR of Macedonia,2009,15,68
TFYR of Macedonia,2009,16,137
TFYR of Macedonia,2009,17,274
TFYR of Macedonia,2009,18,378
TFYR of Macedonia,2009,19,644
TFYR of Macedonia,2009,20,843
TFYR of Macedonia,2009,21,1027
TFYR of Macedonia,2009,22,1240
TFYR of Macedonia,2009,23,1463
TFYR of Macedonia,2009,24,1493
TFYR of Macedonia,2009,25,1633
TFYR of Macedonia,2009,26,1738
TFYR of Macedonia,2009,27,1823
TFYR of Macedonia,2009,28,1717
TFYR of Macedonia,2009,29,1595
TFYR of Macedonia,2009,30,1368
TFYR of Macedonia,2009,31,1186
TFYR of Macedonia,2009,32,1146
TFYR of Macedonia,2009,33,901
TFYR of Macedonia,2009,34,779
TFYR of Macedonia,2009,35,607
TFYR of Macedonia,2009,36,480
TFYR of Macedonia,2009,37,386
TFYR of Macedonia,2009,38,216
TFYR of Macedonia,2009,39,184
TFYR of Macedonia,2009,40,128
TFYR of Macedonia,2009,41,78
TFYR of Macedonia,2009,42,52
TFYR of Macedonia,2009,43,23
TFYR of Macedonia,2009,44,18
TFYR of Macedonia,2009,45,6
TFYR of Macedonia,2009,46,6
TFYR of Macedonia,2009,47,7
TFYR of Macedonia,2009,48,1
TFYR of Macedonia,2009,49,0
TFYR of Macedonia,2009,50 +,3
TFYR of Macedonia,2009,Unknown,3
TFYR of Macedonia,2008,Total,22945
TFYR of Macedonia,2008,12,0
TFYR of Macedonia,2008,13,2
TFYR of Macedonia,2008,14,22
TFYR of Macedonia,2008,15,74
TFYR of Macedonia,2008,16,131
TFYR of Macedonia,2008,17,267
TFYR of Macedonia,2008,18,383
TFYR of Macedonia,2008,19,661
TFYR of Macedonia,2008,20,897
TFYR of Macedonia,2008,21,1067
TFYR of Macedonia,2008,22,1229
TFYR of Macedonia,2008,23,1387
TFYR of Macedonia,2008,24,1673
TFYR of Macedonia,2008,25,1717
TFYR of Macedonia,2008,26,1637
TFYR of Macedonia,2008,27,1734
TFYR of Macedonia,2008,28,1658
TFYR of Macedonia,2008,29,1544
TFYR of Macedonia,2008,30,1278
TFYR of Macedonia,2008,31,1208
TFYR of Macedonia,2008,32,1011
TFYR of Macedonia,2008,33,847
TFYR of Macedonia,2008,34,642
TFYR of Macedonia,2008,35,519
TFYR of Macedonia,2008,36,382
TFYR of Macedonia,2008,37,302
TFYR of Macedonia,2008,38,232
TFYR of Macedonia,2008,39,151
TFYR of Macedonia,2008,40,117
TFYR of Macedonia,2008,41,74
TFYR of Macedonia,2008,42,45
TFYR of Macedonia,2008,43,23
TFYR of Macedonia,2008,44,17
TFYR of Macedonia,2008,45,5
TFYR of Macedonia,2008,46,1
TFYR of Macedonia,2008,47,1
TFYR of Macedonia,2008,48,1
TFYR of Macedonia,2008,49 +,0
TFYR of Macedonia,2008,Unknown,6
TFYR of Macedonia,2007,Total,22688
TFYR of Macedonia,2007,13,4
TFYR of Macedonia,2007,14,20
TFYR of Macedonia,2007,15,61
TFYR of Macedonia,2007,16,139
TFYR of Macedonia,2007,17,260
TFYR of Macedonia,2007,18,461
TFYR of Macedonia,2007,19,677
TFYR of Macedonia,2007,20,939
TFYR of Macedonia,2007,21,1148
TFYR of Macedonia,2007,22,1209
TFYR of Macedonia,2007,23,1513
TFYR of Macedonia,2007,24,1638
TFYR of Macedonia,2007,25,1696
TFYR of Macedonia,2007,26,1799
TFYR of Macedonia,2007,27,1715
TFYR of Macedonia,2007,28,1585
TFYR of Macedonia,2007,29,1467
TFYR of Macedonia,2007,30,1249
TFYR of Macedonia,2007,31,1073
TFYR of Macedonia,2007,32,924
TFYR of Macedonia,2007,33,780
TFYR of Macedonia,2007,34,624
TFYR of Macedonia,2007,35,487
TFYR of Macedonia,2007,36,344
TFYR of Macedonia,2007,37,276
TFYR of Macedonia,2007,38,210
TFYR of Macedonia,2007,39,159
TFYR of Macedonia,2007,40,79
TFYR of Macedonia,2007,41,67
TFYR of Macedonia,2007,42,35
TFYR of Macedonia,2007,43,20
TFYR of Macedonia,2007,44,8
TFYR of Macedonia,2007,45,9
TFYR of Macedonia,2007,46,1
TFYR of Macedonia,2007,47,4
TFYR of Macedonia,2007,48,2
TFYR of Macedonia,2007,Unknown,6
TFYR of Macedonia,2006,Total,22585
TFYR of Macedonia,2006,0 - 14,29
TFYR of Macedonia,2006,15 - 19,1589
TFYR of Macedonia,2006,20 - 24,6438
TFYR of Macedonia,2006,25 - 29,8132
TFYR of Macedonia,2006,30 - 34,4614
TFYR of Macedonia,2006,35 - 39,1552
TFYR of Macedonia,2006,40 - 44,215
TFYR of Macedonia,2006,45 - 49,10
TFYR of Macedonia,2006,50 +,1
TFYR of Macedonia,2006,Unknown,5
TFYR of Macedonia,2005,Total,22482
TFYR of Macedonia,2005,0 - 14,21
TFYR of Macedonia,2005,15 - 19,1722
TFYR of Macedonia,2005,20 - 24,6631
TFYR of Macedonia,2005,25 - 29,8025
TFYR of Macedonia,2005,30 - 34,4454
TFYR of Macedonia,2005,35 - 39,1370
TFYR of Macedonia,2005,40 - 44,244
TFYR of Macedonia,2005,45 - 49,10
TFYR of Macedonia,2005,50 +,3
TFYR of Macedonia,2005,Unknown,2
TFYR of Macedonia,2004,Total,23361
TFYR of Macedonia,2004,0 - 14,22
TFYR of Macedonia,2004,15 - 19,1822
TFYR of Macedonia,2004,20 - 24,7236
TFYR of Macedonia,2004,25 - 29,8337
TFYR of Macedonia,2004,30 - 34,4304
